"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"136","Hest","E1",2006,"F","M",1,2,2,1,1047.60940347624,873.36115615399,1214.00182493369,0.9,"median","qi"
"137","HS","E1",2006,"F","M",1,2,2,1,0.963525307674711,0.954218055465726,0.973069823302732,0.9,"median","qi"
"138","N","E1",2006,"F","M",1,2,2,1,29357.1579232215,21343.8571904006,38435.714466645,0.9,"median","qi"
"139","NS","E1",2006,"F","M",1,2,2,1,0.776256966104368,0.598652154076615,0.94367021125225,0.9,"median","qi"
"140","Report","E1",2006,"F","M",1,2,2,1,0.835301938854144,0.71606260135999,0.931359662464738,0.9,"median","qi"
"141","Hest","E2",2006,"F","M",1,2,2,2,820.402390011654,464.090205123584,1188.31497347163,0.9,"median","qi"
"142","HS","E2",2006,"F","M",1,2,2,2,0.977061007892024,0.958599245903379,0.982647815880988,0.9,"median","qi"
"143","N","E2",2006,"F","M",1,2,2,2,28968.2637556136,24393.3656030727,38616.5569845822,0.9,"median","qi"
"144","NS","E2",2006,"F","M",1,2,2,2,0.720928629328195,0.616497618151195,0.820088131026597,0.9,"median","qi"
"145","Report","E2",2006,"F","M",1,2,2,2,0.594111751669702,0.425411302385365,0.916909359819324,0.9,"median","qi"
"146","Hest","E3",2006,"F","M",1,2,2,3,1927.15262153155,1007.81984792732,2456.06126373878,0.9,"median","qi"
"147","HS","E3",2006,"F","M",1,2,2,3,0.947418718418377,0.914787780995092,0.978416973022303,0.9,"median","qi"
"148","N","E3",2006,"F","M",1,2,2,3,38681.7041392815,26773.9449661564,49041.3105722349,0.9,"median","qi"
"149","NS","E3",2006,"F","M",1,2,2,3,0.632611016152181,0.4491956715681,0.789249869167025,0.9,"median","qi"
"150","Report","E3",2006,"F","M",1,2,2,3,0.617724035677541,0.478120361441128,0.975818801709135,0.9,"median","qi"
"151","Hest","M1",2006,"F","M",1,2,2,4,2741.01139967545,2319.89269701668,3321.72809678511,0.9,"median","qi"
"152","HS","M1",2006,"F","M",1,2,2,4,0.967961772274916,0.910588981309359,0.980705764098747,0.9,"median","qi"
"153","N","M1",2006,"F","M",1,2,2,4,89234.6772441117,30864.1706602475,133852.833798563,0.9,"median","qi"
"154","NS","M1",2006,"F","M",1,2,2,4,0.374582706214847,0.283851158369391,0.655637422509908,0.9,"median","qi"
"155","Report","M1",2006,"F","M",1,2,2,4,0.512051222195885,0.40871273267551,0.619145722093018,0.9,"median","qi"
"156","Hest","M2",2006,"F","M",1,2,2,5,2203.21148984195,1422.07580992483,3100.44599820361,0.9,"median","qi"
"157","HS","M2",2006,"F","M",1,2,2,5,0.979004618169958,0.942288998853127,0.986713094005391,0.9,"median","qi"
"158","N","M2",2006,"F","M",1,2,2,5,103771.796299373,41068.7295710539,139543.762731335,0.9,"median","qi"
"159","NS","M2",2006,"F","M",1,2,2,5,0.490861730703295,0.376133513448853,0.57410147408444,0.9,"median","qi"
"160","Report","M2",2006,"F","M",1,2,2,5,0.685588442942275,0.495235510090537,0.933769175915035,0.9,"median","qi"
"161","Hest","M3",2006,"F","M",1,2,2,6,1694.14336779285,1330.82329669385,4549.52133005534,0.9,"median","qi"
"162","HS","M3",2006,"F","M",1,2,2,6,0.943369392067111,0.865258207387944,0.977678863282494,0.9,"median","qi"
"163","N","M3",2006,"F","M",1,2,2,6,33195.3771626528,27336.5330410196,64898.7705357972,0.9,"median","qi"
"164","NS","M3",2006,"F","M",1,2,2,6,0.688961721099296,0.542955579012459,0.956538948816839,0.9,"median","qi"
"165","Report","M3",2006,"F","M",1,2,2,6,0.534965781862025,0.242652118439872,0.693010521499536,0.9,"median","qi"
"166","Hest","M4",2006,"F","M",1,2,2,7,2036.22937932395,1634.47916191426,2805.20617155731,0.9,"median","qi"
"167","HS","M4",2006,"F","M",1,2,2,7,0.967292087113538,0.927607717651017,0.980680927246048,0.9,"median","qi"
"168","N","M4",2006,"F","M",1,2,2,7,76491.2112561804,29446.974473945,87619.8303212892,0.9,"median","qi"
"169","NS","M4",2006,"F","M",1,2,2,7,0.524912437188,0.42871848642328,0.926271127427384,0.9,"median","qi"
"170","Report","M4",2006,"F","M",1,2,2,7,0.751175430733763,0.532106260921676,0.885813455103665,0.9,"median","qi"
"171","Hest","W1",2006,"F","M",1,2,2,8,3175.51576480835,1357.20023201876,6241.45317017346,0.9,"median","qi"
"172","HS","W1",2006,"F","M",1,2,2,8,0.933398186413664,0.865101361312237,0.974100064560827,0.9,"median","qi"
"173","N","W1",2006,"F","M",1,2,2,8,49495.1801806771,25362.3468094893,86627.5327242295,0.9,"median","qi"
"174","NS","W1",2006,"F","M",1,2,2,8,0.662805464803701,0.412747057450415,0.932995530307132,0.9,"median","qi"
"175","Report","W1",2006,"F","M",1,2,2,8,0.218300915168103,0.0993014528452834,0.587392595243634,0.9,"median","qi"
"176","Hest","W2",2006,"F","M",1,2,2,9,1587.92048825288,1120.72020133938,3396.47992576212,0.9,"median","qi"
"177","HS","W2",2006,"F","M",1,2,2,9,0.969116779458842,0.946876713779344,0.980542527219393,0.9,"median","qi"
"178","N","W2",2006,"F","M",1,2,2,9,41079.1317212941,31013.3145489971,137803.779449447,0.9,"median","qi"
"179","NS","W2",2006,"F","M",1,2,2,9,0.813447312266109,0.515766476386735,0.91478223994665,0.9,"median","qi"
"180","Report","W2",2006,"F","M",1,2,2,9,0.460585964934632,0.183277106495552,0.723970922706111,0.9,"median","qi"
"181","Hest","E1",2007,"F","F",1,3,1,1,1920.7111382073,1522.79837187144,2290.49973426775,0.9,"median","qi"
"182","HS","E1",2007,"F","F",1,3,1,1,0.95025565994201,0.928358009166013,0.958742232852177,0.9,"median","qi"
"183","N","E1",2007,"F","F",1,3,1,1,34289.2886581288,29439.5780003569,45569.2221144854,0.9,"median","qi"
"184","NS","E1",2007,"F","F",1,3,1,1,0.87459457409159,0.83526018491879,0.924191974864451,0.9,"median","qi"
"185","Report","E1",2007,"F","F",1,3,1,1,0.775931820983634,0.639116347907482,0.939555678987402,0.9,"median","qi"
"186","Hest","E2",2007,"F","F",1,3,1,2,1350.97232521524,811.673222508929,1824.39780937082,0.9,"median","qi"
"187","HS","E2",2007,"F","F",1,3,1,2,0.963709150227175,0.952144718134795,0.970305930394497,0.9,"median","qi"
